full_name,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cases,deaths
Adams Indiana,18001,5/1/2020,-20,,,,-32,,7,1
Adams Indiana,18001,5/2/2020,-11,,,,-14,,8,1
Adams Indiana,18001,5/3/2020,,,,,-22,,8,1
Adams Indiana,18001,5/4/2020,,,,,-26,,8,1
Adams Indiana,18001,5/5/2020,,,,,-26,,9,1
Adams Indiana,18001,5/6/2020,,,,,-24,,8,1
Adams Indiana,18001,5/7/2020,-11,,,,-28,,8,1
Adams Indiana,18001,5/8/2020,-17,,,,-25,,8,1
Adams Indiana,18001,5/9/2020,-11,,,,-17,,8,1
Adams Indiana,18001,5/10/2020,,,,,-16,,8,1
Adams Indiana,18001,5/11/2020,,,,,-17,,8,1
Adams Indiana,18001,5/12/2020,,,,,-19,10,8,1
Adams Indiana,18001,5/13/2020,,,,,-19,8,8,1
Adams Indiana,18001,5/14/2020,-8,,,,-22,10,9,1
Adams Indiana,18001,5/15/2020,-15,-7,,,-24,,9,1
Adams Indiana,18001,5/16/2020,-7,,,,-17,,9,1
Adams Indiana,18001,5/17/2020,-5,,,,-20,,9,1
Adams Indiana,18001,5/18/2020,-14,-1,,,-18,,10,1
Adams Indiana,18001,5/19/2020,-5,,,,-19,10,10,1
Adams Indiana,18001,5/20/2020,-1,3,,,-19,8,11,1
Adams Indiana,18001,5/21/2020,0,,,,-20,9,11,1
Adams Indiana,18001,5/22/2020,-9,7,,,-25,,11,1
Adams Indiana,18001,5/23/2020,-8,,,,-13,,12,1
Adams Indiana,18001,5/24/2020,-5,,,,-20,,12,1
Adams Indiana,18001,5/25/2020,-17,,,,-72,,12,1
Adams Indiana,18001,5/26/2020,0,,,,-17,6,12,1
Adams Indiana,18001,5/27/2020,2,15,,,-16,7,12,1
Adams Indiana,18001,5/28/2020,-1,,,,-16,7,13,1
Adams Indiana,18001,5/29/2020,-13,3,,,-17,,13,1
Adams Indiana,18001,5/30/2020,-6,,,,-3,,17,1
Adams Indiana,18001,5/31/2020,0,,,,-8,,15,1
Adams Indiana,18001,6/1/2020,2,7,,,-12,5,17,1
Adams Indiana,18001,6/2/2020,2,,,,-16,5,20,1
Adams Indiana,18001,6/3/2020,6,4,,,-14,5,20,1
Adams Indiana,18001,6/4/2020,-1,,,,-15,5,21,1
Adams Indiana,18001,6/5/2020,-8,11,,,-17,,23,1
Adams Indiana,18001,6/6/2020,-11,,,,-6,,22,1
Adams Indiana,18001,6/7/2020,-2,,,,-15,,22,1
Adams Indiana,18001,6/8/2020,6,18,,,-16,4,22,1
Adams Indiana,18001,6/9/2020,2,,,,-17,6,23,1
Adams Indiana,18001,6/10/2020,-1,7,,,-16,6,24,1
Adams Indiana,18001,6/11/2020,4,,,,-16,4,24,1
Adams Indiana,18001,6/12/2020,-9,-3,,,-20,,24,1
Adams Indiana,18001,6/13/2020,-6,,,,-7,,25,1
Adams Indiana,18001,6/14/2020,-4,,,,-8,,26,1
Adams Indiana,18001,6/15/2020,0,8,,,-14,3,27,1
Adams Indiana,18001,6/16/2020,0,,,,-14,4,28,1
Adams Indiana,18001,6/17/2020,3,-7,,,-15,3,29,2
Adams Indiana,18001,6/18/2020,8,,,,-17,4,29,2
Adams Indiana,18001,6/19/2020,-7,-6,,,-18,,29,2
Adams Indiana,18001,6/20/2020,-3,,,,-5,,37,2
Adams Indiana,18001,6/21/2020,-1,,,,-12,,37,2
Adams Indiana,18001,6/22/2020,0,-1,,,-14,5,37,2
Adams Indiana,18001,6/23/2020,4,,,,-16,5,37,2
Adams Indiana,18001,6/24/2020,1,2,,,-14,3,39,2
Adams Indiana,18001,6/25/2020,3,,,,-17,3,40,2
Adams Indiana,18001,6/26/2020,-8,-7,,,-16,,43,2
Adams Indiana,18001,6/27/2020,-5,,,,0,,44,2
Adams Indiana,18001,6/28/2020,-5,,,,-11,,45,2
Adams Indiana,18001,6/29/2020,8,7,,,-18,5,46,2
Adams Indiana,18001,6/30/2020,8,,,,-20,4,46,2
Adams Indiana,18001,7/1/2020,14,22,,,-22,4,46,2
Adams Indiana,18001,7/2/2020,20,,,,-30,,48,2
Adams Indiana,18001,7/3/2020,2,29,,,-55,,49,2
Adams Indiana,18001,7/4/2020,-23,,,,-26,,51,2
Adams Indiana,18001,7/5/2020,-4,,,,-14,,51,2
Adams Indiana,18001,7/6/2020,1,16,,,-21,5,51,2
Adams Indiana,18001,7/7/2020,7,,,,-19,5,51,2
Adams Indiana,18001,7/8/2020,3,10,,,-18,5,50,2
Adams Indiana,18001,7/9/2020,4,,,,-20,3,50,2
Adams Indiana,18001,7/10/2020,-7,13,,,-17,,50,2
Adams Indiana,18001,7/11/2020,5,,,,1,,50,2
Adams Indiana,18001,7/12/2020,-2,,,,-13,,50,2
Adams Indiana,18001,7/13/2020,3,10,,,-14,3,50,2
Adams Indiana,18001,7/14/2020,5,,,,-17,3,50,2
Adams Indiana,18001,7/15/2020,4,14,,,-13,3,53,2
Adams Indiana,18001,7/16/2020,1,,,,-13,4,54,2
Adams Indiana,18001,7/17/2020,-10,14,,,-15,,55,2
Adams Indiana,18001,7/18/2020,3,,,,3,,56,2
Adams Indiana,18001,7/19/2020,4,,,,-12,,58,2
Adams Indiana,18001,7/20/2020,4,20,,,-15,3,58,2
Adams Indiana,18001,7/21/2020,-3,,,,-19,5,59,2
Adams Indiana,18001,7/22/2020,-4,7,,,-14,4,64,2
Adams Indiana,18001,7/23/2020,0,,,,-18,3,67,2
Adams Indiana,18001,7/24/2020,-12,4,,,-17,,70,2
Adams Indiana,18001,7/25/2020,3,,,,-6,,70,2
Adams Indiana,18001,7/26/2020,9,,,,-14,,71,2
Adams Indiana,18001,7/27/2020,-10,6,,,-17,5,72,2
Adams Indiana,18001,7/28/2020,-1,,,,-18,4,74,2
Adams Indiana,18001,7/29/2020,0,8,,,-16,3,74,2
Adams Indiana,18001,7/30/2020,0,,,,-19,4,74,2
Adams Indiana,18001,7/31/2020,-6,13,,,-17,,75,3
Allen Indiana,18003,5/1/2020,-30,-4,126,-11,-43,18,593,56
Allen Indiana,18003,5/2/2020,-35,-1,,-10,-30,7,605,57
Allen Indiana,18003,5/3/2020,-29,-4,211,-22,-30,6,624,59
Allen Indiana,18003,5/4/2020,-17,1,114,-14,-39,14,669,59
Allen Indiana,18003,5/5/2020,-23,-2,16,-23,-41,17,700,60
Allen Indiana,18003,5/6/2020,-19,0,125,-12,-40,16,723,61
Allen Indiana,18003,5/7/2020,-21,-2,126,-18,-40,16,748,63
Allen Indiana,18003,5/8/2020,-28,-3,54,-19,-40,18,786,63
Allen Indiana,18003,5/9/2020,-29,13,108,-9,-27,8,805,63
Allen Indiana,18003,5/10/2020,-29,1,35,-26,-28,6,821,63
Allen Indiana,18003,5/11/2020,-17,-6,11,-21,-36,14,839,64
Allen Indiana,18003,5/12/2020,-14,0,102,-18,-36,14,874,66
Allen Indiana,18003,5/13/2020,-11,1,153,-7,-36,13,884,67
Allen Indiana,18003,5/14/2020,-18,-4,13,-15,-37,16,905,68
Allen Indiana,18003,5/15/2020,-21,-5,38,-7,-37,16,962,67
Allen Indiana,18003,5/16/2020,-22,2,198,12,-20,5,992,68
Allen Indiana,18003,5/17/2020,-23,-2,14,-10,-23,7,1003,68
Allen Indiana,18003,5/18/2020,-16,-6,-19,-15,-34,15,1040,68
Allen Indiana,18003,5/19/2020,-13,2,4,-16,-34,15,1060,72
Allen Indiana,18003,5/20/2020,-10,2,50,-9,-34,13,1113,72
Allen Indiana,18003,5/21/2020,-11,1,56,-8,-34,13,1146,72
Allen Indiana,18003,5/22/2020,-16,2,74,0,-36,13,1199,73
Allen Indiana,18003,5/23/2020,-23,6,170,12,-22,3,1221,73
Allen Indiana,18003,5/24/2020,-14,7,,-9,-25,0,1248,73
Allen Indiana,18003,5/25/2020,-15,0,,-27,-75,19,1285,74
Allen Indiana,18003,5/26/2020,-6,6,98,-2,-33,11,1317,74
Allen Indiana,18003,5/27/2020,-4,4,102,-4,-32,11,1361,74
Allen Indiana,18003,5/28/2020,-6,4,70,-5,-31,12,1427,74
Allen Indiana,18003,5/29/2020,-13,0,114,5,-31,12,1459,76
Allen Indiana,18003,5/30/2020,-19,3,,11,-13,2,1608,77
Allen Indiana,18003,5/31/2020,-10,4,,1,-12,2,1626,77
Allen Indiana,18003,6/1/2020,-2,7,115,2,-29,9,1670,77
Allen Indiana,18003,6/2/2020,-4,9,155,1,-30,9,1719,78
Allen Indiana,18003,6/3/2020,-1,10,105,2,-30,10,1751,79
Allen Indiana,18003,6/4/2020,-4,6,133,-3,-30,10,1762,80
Allen Indiana,18003,6/5/2020,-12,4,120,-2,-31,9,1819,80
Allen Indiana,18003,6/6/2020,-18,6,228,2,-14,1,1860,81
Allen Indiana,18003,6/7/2020,-10,5,,-4,-13,0,1892,83
Allen Indiana,18003,6/8/2020,-1,6,,-4,-29,8,1905,86
Allen Indiana,18003,6/9/2020,-5,6,83,-12,-30,10,1965,86
Allen Indiana,18003,6/10/2020,-3,3,65,-8,-30,10,2023,86
Allen Indiana,18003,6/11/2020,0,11,175,1,-29,7,2098,87
Allen Indiana,18003,6/12/2020,-10,4,185,2,-30,8,2136,88
Allen Indiana,18003,6/13/2020,-14,8,,8,-11,0,2177,89
Allen Indiana,18003,6/14/2020,-5,6,,-1,-9,-1,2204,89
Allen Indiana,18003,6/15/2020,3,8,,0,-28,7,2233,94
Allen Indiana,18003,6/16/2020,1,8,200,0,-28,7,2271,97
Allen Indiana,18003,6/17/2020,2,10,,1,-28,7,2287,100
Allen Indiana,18003,6/18/2020,1,8,179,2,-29,7,2334,101
Allen Indiana,18003,6/19/2020,-9,7,157,1,-29,7,2341,101
Allen Indiana,18003,6/20/2020,-15,12,229,7,-9,-1,2382,101
Allen Indiana,18003,6/21/2020,-7,10,181,3,-11,-1,2428,101
Allen Indiana,18003,6/22/2020,1,6,164,0,-30,7,2442,105
Allen Indiana,18003,6/23/2020,1,8,159,-6,-30,8,2451,107
Allen Indiana,18003,6/24/2020,3,6,,-1,-28,7,2485,107
Allen Indiana,18003,6/25/2020,0,7,186,-4,-28,7,2526,107
Allen Indiana,18003,6/26/2020,-9,0,151,8,-29,7,2566,110
Allen Indiana,18003,6/27/2020,-11,4,196,9,-8,0,2594,114
Allen Indiana,18003,6/28/2020,-6,4,,-1,-7,-1,2617,114
Allen Indiana,18003,6/29/2020,2,4,,1,-28,7,2640,116
Allen Indiana,18003,6/30/2020,4,8,180,0,-29,7,2668,120
Allen Indiana,18003,7/1/2020,8,10,,8,-30,7,2696,124
Allen Indiana,18003,7/2/2020,9,16,183,3,-34,6,2714,127
Allen Indiana,18003,7/3/2020,-5,15,172,-4,-59,12,2736,138
Allen Indiana,18003,7/4/2020,-40,-9,201,-10,-33,0,2756,139
Allen Indiana,18003,7/5/2020,-16,-7,,1,-17,-1,2781,139
Allen Indiana,18003,7/6/2020,2,6,151,2,-34,7,2817,142
Allen Indiana,18003,7/7/2020,0,6,154,-3,-31,8,2834,142
Allen Indiana,18003,7/8/2020,0,3,146,-3,-29,8,2854,143
Allen Indiana,18003,7/9/2020,1,5,160,-2,-30,7,2886,143
Allen Indiana,18003,7/10/2020,-7,-1,133,1,-30,8,2921,143
Allen Indiana,18003,7/11/2020,-13,6,,10,-8,-1,2958,144
Allen Indiana,18003,7/12/2020,-8,1,,-1,-10,1,2971,144
Allen Indiana,18003,7/13/2020,3,6,,-1,-28,6,2990,144
Allen Indiana,18003,7/14/2020,1,5,205,-3,-29,7,3007,145
Allen Indiana,18003,7/15/2020,3,4,209,-5,-28,7,3032,146
Allen Indiana,18003,7/16/2020,-1,3,140,-6,-28,8,3055,148
Allen Indiana,18003,7/17/2020,-8,0,143,3,-30,7,3081,148
Allen Indiana,18003,7/18/2020,-17,1,,4,-10,-1,3123,151
Allen Indiana,18003,7/19/2020,-10,-1,149,-5,-12,1,3156,151
Allen Indiana,18003,7/20/2020,1,5,157,-2,-29,6,3189,153
Allen Indiana,18003,7/21/2020,-2,2,112,-9,-30,8,3224,154
Allen Indiana,18003,7/22/2020,1,3,136,-3,-28,8,3238,158
Allen Indiana,18003,7/23/2020,-1,4,159,-4,-28,6,3270,159
Allen Indiana,18003,7/24/2020,-9,-3,140,6,-29,7,3304,161
Allen Indiana,18003,7/25/2020,-14,1,,3,-13,-1,3333,161
Allen Indiana,18003,7/26/2020,-8,0,,-7,-11,-1,3371,162
Allen Indiana,18003,7/27/2020,-4,-1,61,-8,-30,8,3401,162
Allen Indiana,18003,7/28/2020,-1,4,169,-5,-28,7,3442,165
Allen Indiana,18003,7/29/2020,1,3,184,-5,-29,7,3467,165
Allen Indiana,18003,7/30/2020,-2,1,138,-3,-29,7,3506,165
Allen Indiana,18003,7/31/2020,-6,-1,189,3,-30,6,3535,167
Bartholomew Indiana,18005,5/1/2020,-25,-1,,-3,-58,21,264,15
Bartholomew Indiana,18005,5/2/2020,-31,0,,,-40,6,269,17
Bartholomew Indiana,18005,5/3/2020,-33,-13,-15,-5,-42,,271,17
Bartholomew Indiana,18005,5/4/2020,-16,-1,,15,-51,18,272,17
Bartholomew Indiana,18005,5/5/2020,-18,0,-24,0,-52,21,300,20
Bartholomew Indiana,18005,5/6/2020,-17,7,,14,-51,20,317,22
Bartholomew Indiana,18005,5/7/2020,-18,4,,11,-52,20,319,24
Bartholomew Indiana,18005,5/8/2020,-25,-2,6,-1,-54,22,334,25
Bartholomew Indiana,18005,5/9/2020,-21,12,51,24,-35,7,345,26
Bartholomew Indiana,18005,5/10/2020,-25,2,11,-4,-38,,349,29
Bartholomew Indiana,18005,5/11/2020,-16,-5,1,4,-46,17,363,29
Bartholomew Indiana,18005,5/12/2020,-11,-2,15,,-45,17,371,30
Bartholomew Indiana,18005,5/13/2020,-13,3,,3,-46,17,374,30
Bartholomew Indiana,18005,5/14/2020,-11,5,,11,-46,18,387,32
Bartholomew Indiana,18005,5/15/2020,-18,-2,25,0,-48,19,398,33
Bartholomew Indiana,18005,5/16/2020,-17,4,,,-30,6,412,33
Bartholomew Indiana,18005,5/17/2020,-17,-2,,19,-29,,424,33
Bartholomew Indiana,18005,5/18/2020,-12,-6,-10,13,-43,16,436,33
Bartholomew Indiana,18005,5/19/2020,-8,1,-12,,-43,17,442,34
Bartholomew Indiana,18005,5/20/2020,-8,1,,16,-43,17,452,34
Bartholomew Indiana,18005,5/21/2020,-8,6,15,13,-43,17,456,36
Bartholomew Indiana,18005,5/22/2020,-10,8,,36,-45,15,460,36
Bartholomew Indiana,18005,5/23/2020,-12,9,,,-26,4,471,36
Bartholomew Indiana,18005,5/24/2020,-6,9,,14,-33,,478,36
Bartholomew Indiana,18005,5/25/2020,-2,2,,24,-78,21,484,36
Bartholomew Indiana,18005,5/26/2020,0,10,,,-39,13,485,36
Bartholomew Indiana,18005,5/27/2020,-5,7,,10,-38,15,490,37
Bartholomew Indiana,18005,5/28/2020,-5,3,,28,-38,15,495,37
Bartholomew Indiana,18005,5/29/2020,-8,2,,19,-40,15,505,37
Bartholomew Indiana,18005,5/30/2020,-6,9,,,-14,2,513,37
Bartholomew Indiana,18005,5/31/2020,-2,4,,38,-15,2,516,38
Bartholomew Indiana,18005,6/1/2020,2,2,,29,-37,12,520,38
Bartholomew Indiana,18005,6/2/2020,4,9,,,-37,12,526,41
Bartholomew Indiana,18005,6/3/2020,1,11,,14,-37,12,527,41
Bartholomew Indiana,18005,6/4/2020,-5,5,,22,-37,14,532,42
Bartholomew Indiana,18005,6/5/2020,-8,6,,26,-38,12,536,42
Bartholomew Indiana,18005,6/6/2020,-5,9,,,-12,1,537,43
Bartholomew Indiana,18005,6/7/2020,3,7,,36,-16,1,539,43
Bartholomew Indiana,18005,6/8/2020,1,3,,31,-36,10,541,43
Bartholomew Indiana,18005,6/9/2020,-5,4,,,-36,12,544,43
Bartholomew Indiana,18005,6/10/2020,2,12,,29,-35,11,545,43
Bartholomew Indiana,18005,6/11/2020,2,10,,40,-36,11,547,43
Bartholomew Indiana,18005,6/12/2020,-6,4,,25,-37,10,552,44
Bartholomew Indiana,18005,6/13/2020,-3,11,,,-12,0,554,44
Bartholomew Indiana,18005,6/14/2020,5,5,,56,-11,1,556,44
Bartholomew Indiana,18005,6/15/2020,3,2,,47,-35,10,559,44
Bartholomew Indiana,18005,6/16/2020,2,8,,,-35,10,563,45
Bartholomew Indiana,18005,6/17/2020,2,9,,27,-34,10,566,45
Bartholomew Indiana,18005,6/18/2020,-1,7,,31,-35,10,567,45
Bartholomew Indiana,18005,6/19/2020,-1,9,,56,-37,9,571,46
Bartholomew Indiana,18005,6/20/2020,4,22,,,-8,-1,570,46
Bartholomew Indiana,18005,6/21/2020,2,6,,52,-7,1,572,46
Bartholomew Indiana,18005,6/22/2020,0,5,,61,-36,10,571,46
Bartholomew Indiana,18005,6/23/2020,3,7,,28,-35,10,573,46
Bartholomew Indiana,18005,6/24/2020,2,7,,30,-33,9,573,46
Bartholomew Indiana,18005,6/25/2020,0,6,,39,-35,9,577,46
Bartholomew Indiana,18005,6/26/2020,-2,7,,62,-34,10,580,46
Bartholomew Indiana,18005,6/27/2020,-1,8,,,-2,1,581,47
Bartholomew Indiana,18005,6/28/2020,2,4,,72,-2,2,582,47
Bartholomew Indiana,18005,6/29/2020,-2,-2,,44,-37,11,583,47
Bartholomew Indiana,18005,6/30/2020,5,6,,,-37,10,583,47
Bartholomew Indiana,18005,7/1/2020,10,12,,59,-37,10,583,47
Bartholomew Indiana,18005,7/2/2020,14,20,,75,-42,9,585,47
Bartholomew Indiana,18005,7/3/2020,5,18,,72,-64,15,588,47
Bartholomew Indiana,18005,7/4/2020,-21,1,,,-30,-1,588,47
Bartholomew Indiana,18005,7/5/2020,-2,-1,,85,-15,1,591,47
Bartholomew Indiana,18005,7/6/2020,3,4,,80,-37,10,592,47
Bartholomew Indiana,18005,7/7/2020,1,5,,,-36,9,595,47
Bartholomew Indiana,18005,7/8/2020,0,3,,47,-35,9,597,48
Bartholomew Indiana,18005,7/9/2020,0,7,,50,-35,10,598,48
Bartholomew Indiana,18005,7/10/2020,-2,3,,53,-35,9,599,48
Bartholomew Indiana,18005,7/11/2020,-4,5,,,-5,0,603,48
Bartholomew Indiana,18005,7/12/2020,4,4,,68,-5,1,607,48
Bartholomew Indiana,18005,7/13/2020,0,3,,47,-35,9,611,48
Bartholomew Indiana,18005,7/14/2020,2,5,,,-34,9,615,48
Bartholomew Indiana,18005,7/15/2020,0,9,,31,-34,10,618,48
Bartholomew Indiana,18005,7/16/2020,-1,6,,46,-35,10,618,48
Bartholomew Indiana,18005,7/17/2020,-3,11,,48,-36,9,625,48
Bartholomew Indiana,18005,7/18/2020,-4,12,,,-6,0,634,48
Bartholomew Indiana,18005,7/19/2020,0,4,,64,-7,1,641,48
Bartholomew Indiana,18005,7/20/2020,-3,6,,33,-35,9,644,48
Bartholomew Indiana,18005,7/21/2020,-1,6,,,-35,10,647,48
Bartholomew Indiana,18005,7/22/2020,-6,3,,20,-35,11,654,48
Bartholomew Indiana,18005,7/23/2020,1,8,,48,-34,9,657,48
Bartholomew Indiana,18005,7/24/2020,-6,4,,61,-33,8,670,48
Bartholomew Indiana,18005,7/25/2020,-5,7,,,1,-1,680,48
Bartholomew Indiana,18005,7/26/2020,2,4,,67,-3,1,691,48
Bartholomew Indiana,18005,7/27/2020,-4,4,,45,-35,10,695,48
Bartholomew Indiana,18005,7/28/2020,1,2,,,-34,9,705,49
Bartholomew Indiana,18005,7/29/2020,-1,0,,33,-34,9,710,50
Bartholomew Indiana,18005,7/30/2020,-7,-1,-2,37,-36,12,723,50
Bartholomew Indiana,18005,7/31/2020,-2,2,,,-35,9,731,50
Benton Indiana,18007,5/1/2020,,,,,-43,,8,0
Benton Indiana,18007,5/4/2020,,,,,-37,,9,0
Benton Indiana,18007,5/5/2020,,,,,-36,,11,0
Benton Indiana,18007,5/6/2020,,,,,-37,,11,0
Benton Indiana,18007,5/7/2020,,,,,-38,,10,0
Benton Indiana,18007,5/8/2020,,,,,-40,,10,0
Benton Indiana,18007,5/11/2020,,,,,-36,,12,0
Benton Indiana,18007,5/12/2020,,,,,-35,,12,0
Benton Indiana,18007,5/13/2020,,,,,-38,,12,0
Benton Indiana,18007,5/14/2020,,,,,-36,,12,0
Benton Indiana,18007,5/15/2020,,,,,-35,,13,0
Benton Indiana,18007,5/18/2020,,,,,-26,,16,0
Benton Indiana,18007,5/19/2020,,,,,-32,,17,0
Benton Indiana,18007,5/20/2020,,,,,-28,,17,0
Benton Indiana,18007,5/21/2020,,,,,-32,,21,0
Benton Indiana,18007,5/22/2020,,,,,-35,,21,0
Benton Indiana,18007,5/25/2020,,,,,-71,,21,0
Benton Indiana,18007,5/26/2020,,,,,-27,,23,0
Benton Indiana,18007,5/27/2020,,,,,-29,,23,0
Benton Indiana,18007,5/28/2020,,,,,-30,,24,0
Benton Indiana,18007,5/29/2020,,,,,-32,,24,0
Benton Indiana,18007,6/1/2020,,,,,-27,,24,0
Benton Indiana,18007,6/2/2020,,,,,-29,,24,0
Benton Indiana,18007,6/3/2020,,,,,-28,,24,0
Benton Indiana,18007,6/4/2020,,,,,-28,,25,0
Benton Indiana,18007,6/5/2020,,,,,-32,,25,0
Benton Indiana,18007,6/8/2020,,,,,-26,,25,0
Benton Indiana,18007,6/9/2020,,,,,-25,,26,0
Benton Indiana,18007,6/10/2020,,,,,-26,,30,0
Benton Indiana,18007,6/11/2020,,,,,-29,,30,0
Benton Indiana,18007,6/12/2020,,,,,-31,,30,0
Benton Indiana,18007,6/15/2020,,,,,-29,,31,0
Benton Indiana,18007,6/16/2020,,,,,-25,,32,0
Benton Indiana,18007,6/17/2020,,,,,-25,,32,0
Benton Indiana,18007,6/18/2020,,,,,-26,,32,0
Benton Indiana,18007,6/19/2020,,,,,-29,,32,0
Benton Indiana,18007,6/22/2020,,,,,-27,,32,0
Benton Indiana,18007,6/23/2020,,,,,-26,,32,0
Benton Indiana,18007,6/24/2020,,,,,-26,,33,0
Benton Indiana,18007,6/25/2020,,,,,-27,,33,0
Benton Indiana,18007,6/26/2020,,,,,-30,,33,0
Benton Indiana,18007,6/29/2020,,,,,-28,,37,0
Benton Indiana,18007,6/30/2020,,,,,-26,,37,0
Benton Indiana,18007,7/1/2020,,,,,-31,,37,0
Benton Indiana,18007,7/2/2020,,,,,-44,,37,0
Benton Indiana,18007,7/3/2020,,,,,-64,,37,0
Benton Indiana,18007,7/6/2020,,,,,-34,,38,0
Benton Indiana,18007,7/7/2020,,,,,-34,,37,0
Benton Indiana,18007,7/8/2020,,,,,-27,,38,0
Benton Indiana,18007,7/9/2020,,,,,-32,,38,0
Benton Indiana,18007,7/10/2020,,,,,-36,,39,0
Benton Indiana,18007,7/13/2020,,,,,-25,,41,0
Benton Indiana,18007,7/14/2020,,,,,-26,,43,0
Benton Indiana,18007,7/15/2020,,,,,-28,,44,0
Benton Indiana,18007,7/16/2020,,,,,-28,,44,0
Benton Indiana,18007,7/17/2020,,,,,-31,,44,0
Benton Indiana,18007,7/20/2020,,,,,-27,,45,0
Benton Indiana,18007,7/21/2020,,,,,-23,,44,0
Benton Indiana,18007,7/22/2020,,,,,-28,,46,0
Benton Indiana,18007,7/23/2020,,,,,-27,,46,0
Benton Indiana,18007,7/24/2020,,,,,-31,,47,0
Benton Indiana,18007,7/27/2020,,,,,-29,,48,0
Benton Indiana,18007,7/28/2020,,,,,-26,,48,0
Benton Indiana,18007,7/29/2020,,,,,-27,,48,0
Benton Indiana,18007,7/30/2020,,,,,-30,,48,0
Benton Indiana,18007,7/31/2020,,,,,-33,,48,0
Blackford Indiana,18009,5/1/2020,,,,,-34,,48,0
Blackford Indiana,18009,5/3/2020,,,,,-24,,48,0
Blackford Indiana,18009,5/4/2020,,,,,-29,,48,0
Blackford Indiana,18009,5/5/2020,,,,,-33,,48,0
Blackford Indiana,18009,5/6/2020,,,,,-35,,51,0
Blackford Indiana,18009,5/7/2020,,,,,-31,,51,0
Blackford Indiana,18009,5/8/2020,,,,,-26,,51,0
Blackford Indiana,18009,5/10/2020,,,,,-21,,51,0
Blackford Indiana,18009,5/11/2020,,,,,-32,,51,0
Blackford Indiana,18009,5/12/2020,,,,,-29,,51,0
Blackford Indiana,18009,5/13/2020,,,,,-25,,51,0
Blackford Indiana,18009,5/14/2020,,,,,-26,,51,0
Blackford Indiana,18009,5/15/2020,,,,,-23,,53,0
Blackford Indiana,18009,5/17/2020,,,,,-21,,53,0
Blackford Indiana,18009,5/18/2020,,,,,-25,,53,0
Blackford Indiana,18009,5/19/2020,,,,,-27,,54,0
Blackford Indiana,18009,5/20/2020,,,,,-28,,54,0
Blackford Indiana,18009,5/21/2020,,,,,-30,,54,0
Blackford Indiana,18009,5/22/2020,,,,,-24,,55,0
Blackford Indiana,18009,5/24/2020,,,,,-19,,56,0
Blackford Indiana,18009,5/25/2020,,,,,-67,,56,0
Blackford Indiana,18009,5/26/2020,,,,,-25,,56,0
Blackford Indiana,18009,5/27/2020,,,,,-24,,56,0
Blackford Indiana,18009,5/28/2020,,,,,-21,,56,0
Blackford Indiana,18009,5/29/2020,,,,,-23,,56,0
Blackford Indiana,18009,6/1/2020,,,,,-22,,59,0
Blackford Indiana,18009,6/2/2020,,,,,-22,,8,1
Blackford Indiana,18009,6/3/2020,,,,,-26,,9,1
Blackford Indiana,18009,6/4/2020,,,,,-23,,9,1
Blackford Indiana,18009,6/5/2020,,,,,-19,,9,1
Blackford Indiana,18009,6/8/2020,,,,,-22,,10,1
Blackford Indiana,18009,6/9/2020,,,,,-20,,12,1
Blackford Indiana,18009,6/10/2020,,,,,-20,,12,1
Blackford Indiana,18009,6/11/2020,,,,,-18,,13,1
Blackford Indiana,18009,6/12/2020,,,,,-18,,13,1
Blackford Indiana,18009,6/15/2020,,,,,-20,,14,1
Blackford Indiana,18009,6/16/2020,,,,,-20,,14,1
Blackford Indiana,18009,6/17/2020,,,,,-24,,14,1
Blackford Indiana,18009,6/18/2020,,,,,-24,,14,1
Blackford Indiana,18009,6/19/2020,,,,,-20,,14,1
Blackford Indiana,18009,6/22/2020,,,,,-22,,14,1
Blackford Indiana,18009,6/23/2020,,,,,-26,,14,1
Blackford Indiana,18009,6/24/2020,,,,,-22,,14,1
Blackford Indiana,18009,6/25/2020,,,,,-19,,15,1
Blackford Indiana,18009,6/26/2020,,,,,-22,,17,1
Blackford Indiana,18009,6/29/2020,,,,,-20,,16,1
Blackford Indiana,18009,6/30/2020,,,,,-24,,17,1
Blackford Indiana,18009,7/1/2020,,,,,-24,,19,1
Blackford Indiana,18009,7/2/2020,,,,,-26,,20,1
Blackford Indiana,18009,7/3/2020,,,,,-46,,21,1
Blackford Indiana,18009,7/6/2020,,,,,-23,,21,1
Blackford Indiana,18009,7/7/2020,,,,,-21,,22,1
Blackford Indiana,18009,7/8/2020,,,,,-23,,21,2
Blackford Indiana,18009,7/9/2020,,,,,-17,,23,2
Blackford Indiana,18009,7/10/2020,,,,,-22,,25,2
Blackford Indiana,18009,7/13/2020,,,,,-21,,26,2
Blackford Indiana,18009,7/14/2020,,,,,-21,,26,2
Blackford Indiana,18009,7/15/2020,,,,,-24,,27,2
Blackford Indiana,18009,7/16/2020,,,,,-19,,28,2
Blackford Indiana,18009,7/17/2020,,,,,-18,,28,2
Blackford Indiana,18009,7/20/2020,,,,,-22,,28,2
Blackford Indiana,18009,7/21/2020,,,,,-19,,28,2
Blackford Indiana,18009,7/22/2020,,,,,-18,,29,2
Blackford Indiana,18009,7/23/2020,,,,,-16,,29,2
Blackford Indiana,18009,7/24/2020,,,,,-19,,30,2
